target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,2NDFL,elementary,,56245,0,0,,,50.567123288,2.1315068493,,,5.5369863014,10
0,2NDFL,advanced,,12020,0,0,1,0.3037858423,36.437742346,17.731506849,0,0,9.1235346957,13
0,OTHER,advanced,Corporate,21611,0,1,,,33.333445617,1.711527809,,,7.9726775956,15
0,OTHER,elementary,VIP,146841,0,1,0,30.530913978,36.531072685,0.5776480275,0,0,7.737704918,17
0,OTHER,elementary,Corporate,183461,0,1,0,1.186984767,44.063013699,0.5121940265,1,1,2.6493150685,23
0,2NDFL,elementary,Corporate,51581,0,1,,,29.050445393,0.5805000374,,,6.2,26
0,OTHER,elementary,Corporate,39713,0,1,0,1362.5046819,25.326611273,0.8484691968,1,1,5.2145894154,28
0,2NDFL,elementary,,97414,0,0,2,-0.59563172,32.515068493,10.178082192,1,1,3.6657534247,35
0,OTHER,advanced,,55000,0,0,0,4.1489023297,28.068306011,1.7447713152,0,0,8.0601092896,38
0,OTHER,elementary,Corporate,127416,0,1,1,0.9881944444,28.155737705,7.5926641216,1,1,7.8224043716,40
0,OTHER,advanced,Corporate,56194,0,1,0,0.4431003584,30.257534247,0.4898270829,0,0,8.7821768096,45
0,2NDFL,elementary,,108000,0,0,0,1.1875,34.347945205,0.4401976196,1,1,11.304109589,48
0,OTHER,elementary,Corporate,78017,0,1,0,,26.497986376,3.5683060109,0,0,3.5273224044,51
0,OTHER,beginner,Corporate,83623,0,1,1,0.2176299283,28.965596227,3.7158469945,0,0,8.4207650273,56
0,2NDFL,elementary,,34319,0,0,,,38.950684932,4.9191930534,,,11.019178082,57
0,OTHER,elementary,Corporate,66175,0,1,0,7.5651433692,35.819672131,3.1020959653,0,0,10.773328842,66
0,2NDFL,elementary,,94288,0,0,0,7.5362231183,28.839553859,4.528078449,0,0,8.1287671233,75
0,OTHER,elementary,,19000,0,0,0,,26.2750131,1.696930908,,,6.2037802231,78
0,OTHER,elementary,Corporate,44153,0,0,,,31.857534247,0.4273972603,,,8.9123287671,83
0,OTHER,advanced,Corporate,33699,0,1,1,1.2148073477,39.488397335,1.2883973351,0,0,10.176068568,85
0,2NDFL,advanced,,19323,0,0,2,0.7904121864,52.672131148,12.969945355,0,0,7.2329590538,95
0,OTHER,elementary,Corporate,221961,0,1,,,39.268493151,6.2465753425,,,10.775342466,98
0,OTHER,elementary,Corporate,37018,0,1,1,1.3049955197,34.575342466,2.2849315068,0,0,4.3448461711,114
0,2NDFL,elementary,,36138,0,0,2,0.9825044803,32.265027322,10.066958605,0,0,9.9847668239,124
0,2NDFL,elementary,,144822,0,0,0,26.27672491,32.245901639,7.5926641216,0,0,7.1269106969,125
0,2NDFL,elementary,,67475,0,0,,,40.084931507,6.2821917808,,,9.8741747137,129
0,OTHER,elementary,Corporate,71326,0,1,0,0.6380824373,28.240437158,1.0017366569,0,0,7.7786885246,135
0,OTHER,elementary,Corporate,71326,0,1,0,0.6380824373,28.240437158,1.0017366569,0,0,7.7786885246,136
0,2NDFL,elementary,,,0,1,6,0.3811827957,31.187341867,2.8558350176,0,0,7.9016393443,139
0,2NDFL,elementary,,,0,1,6,0.3811827957,31.187341867,2.8558350176,0,0,7.9016393443,140
0,2NDFL,elementary,,,0,1,6,0.3811827957,31.187341867,2.8558350176,0,0,7.9016393443,143
0,2NDFL,elementary,,,0,1,6,0.3811827957,31.187341867,2.8558350176,0,0,7.9016393443,144
0,2NDFL,elementary,,114108,0,0,1,1.275,48.235556554,0.956868029,0,0,3.0493150685,148
0,OTHER,elementary,,50000,0,0,,,51.778688525,2.6094243581,,,6.2423010704,159
0,OTHER,advanced,Corporate,26100,0,1,0,32.702688172,31.649315068,6.1342465753,1,1,3.4082191781,162
0,OTHER,elementary,Corporate,35704,0,0,0,23.475403226,33.001586945,5.9589041096,1,1,5.698630137,167
0,OTHER,beginner,Corporate,193399,0,1,0,45.304569892,39.37704918,4.7447713152,1,1,12.071038251,168
0,2NDFL,beginner,,34800,0,0,0,,43.942622951,1.0967737106,0,1,7.1515682312,171
0,OTHER,elementary,Corporate,236191,0,1,,,32.353424658,1.4246575342,,,10.673972603,174
0,OTHER,advanced,,30000,0,0,1,0.7871415771,41.832876712,2.4054794521,1,1,11,175
0,2NDFL,elementary,,43457,0,0,0,46.477016129,27.868852459,0.6857923497,1,1,7.6308630886,192
0,OTHER,elementary,Corporate,40233,0,1,0,21.800089606,35.057294708,0.1997604611,0,0,5.6408563515,197
0,OTHER,elementary,VIP,566707,1,1,0,57.735909498,37.303473314,0.5664870125,0,0,11.513661202,203
0,OTHER,elementary,,40000,0,0,,,25.072303316,0.7908825511,,,4.9876038626,208
0,OTHER,elementary,VIP,80000,0,0,0,32.115456989,56.716153904,4.1123287671,,,10.808219178,212
0,2NDFL,advanced,,20902,0,0,,,52.715068493,10.619178082,,,6.7150684932,219
0,OTHER,advanced,,30000,0,0,0,0.8846774194,56.512201512,0.6324200913,1,1,6.1479452055,233
0,OTHER,advanced,,18000,0,0,1,1.1519489247,31.682191781,0.7160041919,0,0,9.4301369863,235
0,OTHER,elementary,,170000,0,0,,,34.863013699,3.0328767123,,,10.260273973,239
0,OTHER,beginner,VIP,298747,0,1,1,0.7934811828,39.151246351,7.3676847069,0,0,9.8197395015,240
0,OTHER,advanced,,15000,0,0,0,2.0521953405,41.670589116,3.073328842,0,0,10.533602815,248
0,OTHER,elementary,,120000,0,0,0,12.146594982,55.126027397,16.894288495,0,0,8.0602739726,250
0,OTHER,advanced,Corporate,77565,0,1,,,39.463013699,0.5011602665,,,4.7880455124,251
0,2NDFL,beginner,,,0,1,1,0.2382168459,49.232876712,5.3123287671,0,0,4.194153754,257
