AGE76,BLACK,DADED,ED76,EXP76,IQSCORE,WAGE76,LWAGE76,MOMED,NEARC,SMSA76,SOUTH76
27,0,8.0000000000000000,12,9,93,481,6.1758670000000002,8.00,0,1,0
34,0,14.0000000000000000,12,16,103,721,6.5806389999999997,12.00,0,1,0
27,0,11.0000000000000000,11,10,88,250,5.5214610000000004,12.00,1,1,0
34,0,8.0000000000000000,12,16,108,729,6.5916740000000003,7.00,1,1,0
26,0,9.0000000000000000,12,8,85,500,6.2146080000000001,12.00,1,1,0
33,0,14.0000000000000000,18,9,119,565,6.3368260000000003,14.00,1,1,0
29,0,14.0000000000000000,14,9,108,608,6.4101749999999997,14.00,1,1,0
28,0,12.0000000000000000,12,10,96,425,6.0520889999999996,12.00,1,1,0
29,0,12.0000000000000000,12,11,97,515,6.2441670000000000,12.00,1,1,0
28,0,11.0000000000000000,9,13,84,225,5.4161010000000003,12.00,1,1,0
26,0,11.0000000000000000,12,8,89,400,5.9914649999999998,6.00,1,1,0
24,0,11.0000000000000000,11,7,93,417,6.0330859999999999,6.00,1,1,0
30,0,11.0000000000000000,11,13,74,217,5.3798969999999997,6.00,1,1,0
31,1,9.9399999999999995,16,9,116,894,6.7957060000000000,8.00,1,1,0
34,0,12.0000000000000000,12,16,93,346,5.8464390000000002,8.00,1,1,0
29,0,9.9399999999999995,14,9,100,658,6.4892050000000001,12.00,1,1,0
26,0,8.0000000000000000,10,10,91,575,6.3543700000000003,8.00,1,1,0
32,0,8.0000000000000000,12,14,88,649,6.4754329999999998,8.00,1,1,0
34,0,9.9399999999999995,18,10,114,614,6.4199950000000001,8.00,1,1,0
32,0,5.0000000000000000,15,11,111,726,6.5875500000000002,14.00,1,0,0
32,0,11.0000000000000000,12,14,95,693,6.5410300000000001,12.00,1,1,0
34,0,14.0000000000000000,18,10,132,1400,7.2442270000000004,13.00,1,0,0
32,0,16.0000000000000000,18,8,109,1800,7.4955420000000004,16.00,1,1,0
25,0,11.0000000000000000,12,7,108,413,6.0234480000000001,12.00,1,1,0
29,0,9.9399999999999995,14,9,102,632,6.4488890000000003,16.00,1,0,0
25,0,12.0000000000000000,12,7,106,208,5.3375380000000003,12.00,1,1,0
25,1,9.9399999999999995,12,7,104,457,6.1246830000000001,11.00,1,1,0
24,0,10.0000000000000000,16,2,119,824,6.7141700000000002,10.00,1,1,0
34,0,9.9399999999999995,18,10,122,577,6.3578419999999998,12.00,1,1,0
28,0,6.0000000000000000,11,11,90,255,5.5412640000000000,10.00,1,1,0
30,0,12.0000000000000000,16,8,118,962,6.8690140000000000,12.00,1,1,0
31,0,8.0000000000000000,10,15,105,944,6.8501260000000004,6.00,1,1,0
34,0,8.0000000000000000,18,10,115,1146,7.0440329999999998,11.00,1,1,0
24,1,6.0000000000000000,11,7,65,235,5.4595859999999998,12.00,1,1,0
34,0,11.0000000000000000,12,16,120,1000,6.9077549999999999,10.00,1,1,0
26,0,9.9399999999999995,9,11,86,481,6.1758670000000002,12.00,1,1,0
32,0,10.0000000000000000,15,11,109,624,6.4361509999999997,12.00,1,1,0
34,0,8.0000000000000000,11,17,72,650,6.4769730000000001,10.00,1,1,0
24,0,12.0000000000000000,12,6,101,353,5.8664680000000002,11.00,1,1,0
25,0,9.9399999999999995,13,6,105,659,6.4907240000000002,12.00,1,1,0
28,0,10.0000000000000000,17,5,136,621,6.4313310000000001,10.00,1,1,0
25,0,10.0000000000000000,12,7,101,440,6.0867750000000003,11.00,1,1,0
26,1,12.0000000000000000,12,8,96,738,6.6039440000000003,10.00,1,1,0
27,0,9.9399999999999995,12,9,101,705,6.5581980000000000,8.00,1,1,0
